ticker,company_name,shares_float,shares_float_m,price,volume,volume_m,market_cap
AC,,2140000.0,2.14,37.54,4008.0,0.0,793520000.0
AHT,,5760000.0,5.76,5.99,27131.0,0.03,35110000.0
ARTL,,540000.0,0.54,6.79,15666.0,0.02,3710000.0
AEYE,,7710000.0,7.71,11.5,218700.0,0.22,143270000.0
AMS,,3230000.0,3.23,2.44,778.0,0.0,15750000.0
AGMH,,1400000.0,1.4,2.19,100825.0,0.1,4420000.0
ATXG,,5080000.0,5.08,0.61,390120.0,0.39,3680000.0
ARL,,1310000.0,1.31,14.41,14467.0,0.01,232750000.0
AENT,,3070000.0,3.07,3.91,60709.0,0.06,199240000.0
ARTW,,2370000.0,2.37,2.05,43752.0,0.04,10430000.0
ALOT,,6020000.0,6.02,9.3,22542.0,0.02,70640000.0
AFBI,,4510000.0,4.51,18.64,4247.0,0.0,117700000.0
ASNS,,7410000.0,7.41,0.6,240610.0,0.24,5520000.0
ACNT,,7910000.0,7.91,12.6,1076661.0,1.08,132419999.99999999
AGH,,3150000.0,3.15,0.59,50322.0,0.05,8170000.0
AIM,,640000.0,0.64,8.9,6085.0,0.01,6800000.0
AIFE,,8510000.0,8.51,10.18,1192.0,0.0,112290000.0
ARBB,,1500000.0,1.5,6.82,4099.0,0.0,12040000.0
AREN,,8750000.0,8.75,6.37,1865472.0,1.87,302960000.0
APM,,4310000.0,4.31,0.97,25794.0,0.03,6940000.0
APUS,,2080000.0,2.08,1.78,21493.0,0.02,20610000.0
ANTA,,1900000.0,1.9,11.0,48506.0,0.05,254100000.0
ADVB,,3080000.0,3.08,0.71,1087202.0,1.09,15360000.0
ASTI,,1920000.0,1.92,3.24,15933209.0,15.93,6240000.0
ALMU,,8090000.0,8.09,14.53,1534991.0,1.53,229570000.0
AMOD,,5050000.0,5.05,1.16,101194.0,0.1,16040000.0
APDN,,510000.0,0.51,4.83,48991.0,0.05,2510000.0
AKA,,470000.0,0.47,10.7,62358.0,0.06,114650000.0
AGM,,9210000.0,9.21,197.67,277269.0,0.28,2109999999.9999998
ADXN,,820000.0,0.82,9.0,60692.0,0.06,7380000.0
AFJK,,4490000.0,4.49,11.14,15.0,0.0,68180000.0
ALX,,2120000.0,2.12,224.65,100959.0,0.1,1150000000.0
AMST,,3600000.0,3.6,2.53,17187.0,0.02,11570000.0
AACG,,8840000.0,8.84,0.79,10852.0,0.01,25250000.0
APRE,,4820000.0,4.82,1.67,48734.0,0.05,9270000.0
ARTNA,,,,,,,
AUST,,,,,,,
AEMD,,,,,,,
AIRO,,,,,,,
ADN,,,,,,,
AIHS,,,,,,,
AQB,,,,,,,
ASMB,,,,,,,
ALCO,,,,,,,
ARKR,,,,,,,
AIRG,,,,,,,
AGFY,,,,,,,
41,,,,,,,
AIMD,,,,,,,
AQMS,,,,,,,
81,,,,,,,
ATNI,,,,,,,
Valuation,,,,,,,
ACTU,,,,,,,
AIRI,,,,,,,
ACON,,,,,,,
APT,,,,,,,
AGRI,,,,,,,
ATRA,,,,,,,
AAME,,,,,,,
ARQQ,,,,,,,
AEHL,,,,,,,
AMBR,,,,,,,
AMBO,,,,,,,
AKAN,,,,,,,
ALUR,,,,,,,
AFRI,,,,,,,
ARAI,,,,,,,
ATLO,,,,,,,
ASPS,,,,,,,
export,,,,,,,
AMBI,,,,,,,
AUBN,,,,,,,
ATMC,,,,,,,
ACCS,,,,,,,
AIFF,,,,,,,
ATHR,,,,,,,
APLM,,,,,,,
ALZN,,,,,,,
APWC,,,,,,,
APVO,,,,,,,
ABTS,,,,,,,
ATGL,,,,,,,
ASTC,,,,,,,
ACU,,,,,,,
1,,,,,,,
ATNF,,,,,,,
ACR,,,,,,,
21,,,,,,,
ALBT,,,,,,,
ATLX,,,,,,,
AMIX,,,,,,,
AEI,,,,,,,
ALGS,,,,,,,
ATMV,,,,,,,
ASPC,,5790000.0,5.79,10.25,29.0,0.0,82510000.0
ATER,,6270000.0,6.27,1.62,162376.0,0.16,16090000.0
ATLC,,9300000.0,9.3,53.56,66093.0,0.07,810160000.0
AEON,,9430000.0,9.43,0.76,134117.0,0.13,8580000.0
AII,,8810000.0,8.81,17.82,112823.0,0.11,348770000.0
61,,,,,,,
AIRT,,1300000.0,1.3,22.48,1381.0,0.0,60700000.0
ASIC,,4920000.0,4.92,22.34,217394.0,0.22,1050000000.0
AREB,,6620000.0,6.62,1.34,237819.0,0.24,9140000.0
ADTX,,2430000.0,2.43,1.33,712063.0,0.71,3230000.0
ALAR,,6700000.0,6.7,12.85,262645.0,0.26,90210000.0
ALCY,,1120000.0,1.12,11.43,70.0,0.0,52210000.0
